Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,24.7804957329917,6.715576699579124,-2.873921248100319e-06,0.003627054262170481,0,-0.002073832402526141,0,0,0,1325.77196733,0,0,0,-0.5045846276534185,-5.607049850377399e-07,-1.203814143459196,-0.1079000836066425,-1.193964296526488,0.1594880636097266,-0.5046911305956839,-5.607049837089418e-07,-33.33336877373908,0,0,0,1320.391190653657,-119.3248214477856,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3050179705024,4.3050000006514,-1.192708005548819e-15,-7.951386703658792e-15,7.951386703658792e-16,1,-1.040834085586084e-17,-6.938893903907228e-17,6.938893903907228e-18,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,0,0,29.593978,29.75952602518,-95.163839,-1636354.08174152,-18107108.71473717,10325659.96215431,-1636354.08174152,-18107108.71473717,10325659.96215431,0,4.3050000006514,0,0.003,0.999479828,1.5236864,34494357.8,87.3072309,3.49,-2.79618531,0,1,-0.523,0,2.08166817e-17,6.24500451e-16,0.348,0,6.24500451e-16,1.56125113e-15,4.59191508e-16,0,0,0,-1,-1.04083409e-15,0,7.95197241e-16,-7.95197241e-16,0,-7.95197241e-16,-1.38761919e-17,-2.88486317e-20,2.07878331e-17,0,0,0,-4.305,-0.0178630705,-0.00214279946,-0.00214279946,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,29.5939786618732334,-95.1638401102004394,20908474.4785842486,0.00362705426217048129
0.12,1.341392533980287,0.2459075135407391,4.567675918988914e-05,6.47667312597774,1.761390257075083,-0.0007458004945640286,1.34502022599373,0.2459044111959791,-0.002027037520577509,1.254480229e-05,3201.726461,0.102746667475,1325.87288301,-0.01850636664506659,0.1009070120945154,-0.005671594222885089,-0.1300137917577334,0.4781672432789174,0.2252131361680835,0.4967623349038643,0.1865178256869928,-0.2262013835327925,-0.1202541805052618,0.4302260626854555,-31.90184942365623,-0.01850636664506659,0.1009070120945154,-0.005671594222885089,1320.491483223507,-119.3362663084681,-0.0133297904055378,0.09924806529673504,-0.02300034564681198,-0.01332979040553779,-0.01850808906553976,0.1009153810265551,-0.005514906044588034, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3066440410912,4.3066260703039,0.08573269555651132,0.01762451041979371,1.426676770719204e-05,0.9999997083014868,0.0007481588092419708,0.0001538029174339544,9.432024349605256e-09,-0.3390602234943613,0.638250349700298,0.5836806530203391,0.3701236972164189,-0.3390618428818546,0.6382477959343219,0.5836834455317218,0.3701222137331913,-162.9614162141,79.141442679658,29.593977996178,29.759526021333,-95.163838978631,-1636195.628172294,-18107123.03573036,10325659.96174667,-1636354.075177844,-18107108.71744509,10325659.96174667,0.00050136889586885,4.3066260703039,-3.2625627812676e-09,0.003000249,0.999479769,1.5236864,34494357.8,87.3072309,3.49,-2.79618556,0,1,-0.523,0,-0.00149631781,-0.0475570567,0.348,0,-0.0697864128,-0.174466032,-0.150403431,0,0,0,-1,0.528294682,0,1.42678186e-05,-1.42678186e-05,0,-1.42678186e-05,-2.48973435e-07,-2.77159126e-09,-0.00149632059,0,0,0,-4.30662607,-0.425923391,-0.0510924639,-0.05660737,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9207,0,0,-0,0,0,130,130,29.593978657840271,-95.1638400876223614,20908474.4808154777,1.34502022599373006
0.24,1.557552392204599,0.4569086195885625,-0.0005392746469803298,-3.269566340537129,1.316045929132091,-0.01017976256099571,1.561181587686267,0.4568988484022175,-0.002609334581922376,1.788791822e-05,3823.245784,0.122691854082,1325.88874386,-0.03431500657289484,0.1168474923219043,0.01491425224364617,-0.1027671631768513,-0.2178072260154752,0.07297198469846108,-0.2076656376375468,0.1305406781231867,-0.1265158386881221,-0.06954162179774381,-0.3697383811528651,-32.05274341675983,-0.03431500657289484,0.1168474923219043,0.01491425224364617,1320.509260015725,-119.3157739456683,-0.03746965623475921,0.1159806513279659,-0.01406429654096453,-0.03746965623475923,-0.03429927768549493,0.116775775761171,0.01550060655692001, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3058459497988,4.3058279747167,0.270214556697951,0.05921105613746368,0.0001332371175712908,0.9999970862661186,0.002358063749684633,0.0005167152237621072,-5.573502759199128e-08,-0.3402990773759196,0.6375692505468865,0.5841527305808661,0.3694151811297116,-0.3403023099444711,0.63756413887181,0.5841583096324557,0.3694122033155602,156.50889948851,72.244311560759,29.593977987388,29.759526012519,-95.163838934749,-1636037.167254159,-18107137.3547767,10325659.9585679,-1636354.061390582,-18107108.7195929,10325659.9585679,0.0010027377917377,4.3058279747167,6.525125562544e-09,0.00300232543,0.999479798,1.5236864,34494357.8,87.3072309,3.49,-2.79618763,0,1,-0.523,0,-0.0047161337,-0.144799816,0.348,0,-0.172431499,-0.431078748,-0.406816233,0,0,0,-1,0.799493448,0,0.000133246932,-0.000133246932,0,-0.000133246932,-2.32515896e-06,-5.51341132e-08,-0.00471618884,0,0,0,-4.30582797,-0.795204831,-0.0953903394,-0.0798897328,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9201,0,0,-0,0,0,130,130,29.5939786485487346,-95.1638400411288217,20908474.4813335538,1.56118158768626691
0.36,0.9511725776533109,0.5237545879927643,-0.001999613035299977,-9.020637111347241,-0.4333604745086342,-0.01632010995850489,0.9548039591099066,0.5237388007735573,-0.004065798635602909,8.104965834e-06,2573.522207,0.0825869467778,1325.84342004,-0.03930350493543373,0.07154957910369399,0.01250983644782814,0.02617193328810674,-0.6788825999714249,-0.1209587750872472,-0.6752797478549711,0.06241732563685909,0.08446768534069009,0.09335073187151093,-0.9241940288165897,-32.24795236495308,-0.03930350493543373,0.07154957910369399,0.01250983644782814,1320.464757144671,-119.3046434489637,-0.04061757318098883,0.07043362227163483,-0.01448866386733154,-0.04061757318098883,-0.03927660982188683,0.0714517985874214,0.01313743420910881, 2095.734822,-10.78165487,  13.5548336,-10.78165487, 1505.011874, 3.979908046,  13.5548336, 3.979908046, 3150.439247,77.08075476,2479.999981,45.4895161094443,4.227419387822993,35.42701594198394,4.3038605228066,4.3038425543952,0.4370968625381846,0.119770603861196,0.0003860505421453587,0.9999921790191881,0.003814374846437831,0.001045200748730438,-6.178731187191469e-07,-0.3415354992643979,0.6368770540114452,0.5845108460792469,0.368901330482345,-0.3415403413626426,0.6368693817800277,0.5845192055541885,0.3688968475215197,162.34434820737,60.037741675193,29.593977974849,29.759525999952,-95.163838896031,-1635878.707811075,-18107151.67193706,10325659.95361482,-1636354.049203671,-18107108.72124143,10325659.95361482,0.0015041066876065,4.3038425543952,0,0.00300673785,0.999479869,1.5236864,34494357.8,87.307231,3.49,-2.79619205,1,0,-0.523,-0.523,-0.530628779,-0.174,0.348,0,-0.192155194,-0.480387984,-0.484604719,-0.484604719,-0.484604719,0,-1,0.751806367,0,0.000386078979,-0.000386078979,0,-0.000386078979,-6.73707819e-06,-2.70071874e-07,-0.00762904947,0,0,0,-4.30384256,-1.12918842,-0.135454012,-0.122316578,0,0,0,-0,0,0,0.002,-0.484604719,-0.169127047,-0.157,0.126845285,0.126845285,-0.283845285,0,0,0,0,270.546,0.491902,1.29953,29.7361,61.393,0.0068887,-0.00661053,0.130222,45.5856,130,130,29.5939786352697212,-95.1638400000371121,20908474.4806376882,0.954803959109906564
0.48,-0.2047220244269938,0.3895301442738125,-0.003942244108504183,-9.027010040790216,-1.522116515887061,-0.01558338533507481,-0.2010885883249658,0.389512546517334,-0.006004799772224013,1.354946325e-06,1052.236526,0.0337673406823,1325.75667358,-0.02923228495009528,-0.01535495400682086,-0.007066272058330721,0.1143107255305503,-0.6874292346445583,-0.1357831553763597,-0.6807748138427347,0.09175770747841083,0.1691681792498602,0.2132943479771101,-0.9610670662962232,-32.26376842557499,-0.02923228495009528,-0.01535495400682086,-0.007066272058330721,1320.378273181855,-119.2978322518853,-0.02186865153510469,-0.01709458467753595,-0.01922941890687841,-0.02186865153510469,-0.02925421685734341,-0.0152944794376235,-0.007106545683602742, 2095.734636,-10.78165473, 13.55483444,-10.78165473, 1505.011861, 3.979909466, 13.55483444, 3.979909466, 3150.439068,77.08075277,2479.999916,45.48951604449461,4.227419497192175,35.42701532176971,4.3034528978169,4.3034349375092,0.4879431922195008,0.1767945798630602,0.0005080659111638219,0.999989744151137,0.004258082857645935,0.001542828039393249,-2.135821155231924e-06,-0.3421077908447959,0.6365400694111739,0.584506328502777,0.3689598235818029,-0.3421142479863173,0.6365298398240147,0.5845174685493947,0.3689538362708515,-166.41066956799,-27.047432185521,29.593977963261,29.759525988327,-95.163838885372,-1635720.257218143,-18107165.98810429,10325659.9497426,-1636354.045992217,-18107108.72328322,10325659.9497426,0.0020054755834754,4.3034349375092,-3.2625627812839e-09,0.00300886742,0.999479884,1.5236864,34494357.8,87.307231,3.49,-2.79619417,1,0,-0.523,-0.523,-0.531516215,-0.174,0.348,0,-0.172056014,-0.430140036,-0.435173917,-0.435173917,-0.435173917,0,-1,0.386153079,0,0.000508103336,-0.000508103336,0,-0.000508103336,-8.86640321e-06,-6.59965474e-07,-0.00851687523,0,0,0,-4.30343494,-1.43125875,-0.171689457,-0.178796002,0,0,0,-0,0,0,0.002,-0.435173917,-0.151875697,-0.151875697,0.113906773,0.113906773,-0.26578247,0,0,0,0,511.86,0.930654,1.29953,29.4572,58.7539,-0.00301633,-0.0120936,0.508944,86.5262,130,130,29.5939786229784083,-95.1638399886526969,20908474.4807928503,-0.201088588324965761
0.6,-1.003361743049968,0.2614253886482878,-0.005650326810963311,-3.258495702739746,-0.5521118296809666,-0.008551603729567054,-0.9997269218151038,0.2614105360264067,-0.007710462108632883,7.46874445e-06,2470.450301,0.0792792665038,1325.6967913,-0.01961341558539566,-0.07528846262837822,-0.01523690984102751,0.04432955126558071,-0.2661566210443976,-0.0198150768024982,-0.2561303449316517,0.1243503809508806,0.04852201066108669,0.1648698493668139,-0.497809137315352,-32.14691167150882,-0.01961341558539566,-0.07528846262837822,-0.01523690984102751,1320.319433995075,-119.2835889248318,-0.009282490298672686,-0.07697768209457911,-0.01653704721450325,-0.009282490298672692,-0.01967224708948809,-0.07517685968334438,-0.0157049215208045, 2095.734329,-10.78165448, 13.55483582,-10.78165448,  1505.01184, 3.979911789, 13.55483582, 3.979911789, 3150.438774,77.08074949,2479.999811,45.48951593771766,4.227419676994555,35.42701430214067,4.3049611672759,4.3049431996263,0.4126398259876158,0.2152935918912032,0.0002437121112060219,0.9999917516403279,0.003600943660746319,0.001878785390564652,-4.638664234169721e-06,-0.3418839360753026,0.6366378685276292,0.5841519335414769,0.3695593553815268,-0.3418920206014498,0.6366250892660603,0.5841658607113477,0.3695518761221611,-142.15773734575,-71.743106820544,29.593977955473,29.759525980501,-95.163838904098,-1635561.815874439,-18107180.30301984,10325659.94802032,-1636354.052155282,-18107108.72545949,10325659.94802032,0.0025068444793442,4.3049431996263,9.7876883438634e-09,0.00300425358,0.99947983,1.5236864,34494357.8,87.307231,3.49,-2.79618956,1,0,-0.523,-0.523,-0.530201924,-0.174,0.348,0,-0.157157824,-0.39289456,-0.395404115,-0.395404115,-0.395404115,0,-1,0.0165110537,0,0.000243730063,-0.000243730063,0,-0.000243730063,-4.25308961e-06,-9.7443212e-07,-0.00720289802,0,0,0,-4.3049432,-1.70464898,-0.204484493,-0.220189415,0,0,0,-0,0,0,0.002,-0.395404115,-0.137996036,-0.137996036,0.103497027,0.103497027,-0.241493063,0,0,0,0,721.419,1.31167,1.29953,29.3047,56.3455,-0.0211074,-0.013616,1.09926,125.43,130,130,29.5939786147100108,-95.1638400084546845,20908474.482010778,-0.999726921815103808
0.72,-1.019129100211516,0.2230042619744198,-0.005445637499488408,3.257781474690894,-0.1861730901986509,0.01487514986752907,-1.015493244140072,0.2229940970657398,-0.007503974390492095,7.53257399e-06,2480.984306,0.0796173170348,1325.69554503,-0.01670526185629103,-0.0764956822685913,-0.01443128519545981,0.01424645586353842,0.2266533664048211,0.02376805063085843,0.2367401681743788,0.105685317211961,-0.0006201554873161517,0.1509459353123835,0.06746379243017817,-32.10368641080324,-0.01670526185629103,-0.0764956822685913,-0.01443128519545981,1320.319441641838,-119.269652780223,-0.007241592288828751,-0.07801378782693641,-0.01415363634665468,-0.00724159228882875,-0.01676856737965398,-0.07642327684900972,-0.01473821819321592, 2095.733907,-10.78165415, 13.55483771,-10.78165415, 1505.011811, 3.979914972, 13.55483771, 3.979914972,  3150.43837,77.08074499,2479.999666,45.48951579109502,4.227419923893302,35.42701290201941,4.3068430572748,4.3068250763021,0.2834327395542563,0.244086125070103,359.9997247231418,0.9999946725338849,0.00247341424039402,0.00213003920239205,-7.670732128327137e-06,-0.3413104008797117,0.6369265453688885,0.5836528191781191,0.370379768239597,-0.3413201238288132,0.6369112233209031,0.5836695393268212,0.3703708081630768,-139.17703225181,-73.902656878921,29.593977949593,29.759525974586,-95.16383893465,-1635403.378140909,-18107194.61619085,10325659.94708697,-1636354.062053779,-18107108.72727741,10325659.94708697,0.0030082133752131,4.3068250763021,0,6.2861805,0.999479762,1.5236864,34494357.8,87.3072309,3.49,-2.7961805,1,0,-0.523,-0.523,-0.527946835,-0.174,0.348,0,-0.155723808,-0.389309519,-0.388281418,-0.388281418,-0.388281418,0,-1,-0.125499244,0,360.026243,-360.026243,360,-0.0262428043,-0.000457936934,-1.32810815e-05,-0.00496011559,0,0,0,-4.3068251,-1.95219312,-0.234179096,-0.248917314,0,0,0,-0,0,0,0.002,-0.388281418,-0.135510215,-0.135510215,0.101632661,0.101632661,-0.237142876,0,0,0,0,904.353,1.64428,1.29953,29.3123,54.1945,-0.0279115,-0.0153115,1.86727,162.354,130,130,29.5939786084678467,-95.1638400408488252,20908474.4832289405,-1.01549324414007169
0.84,-0.4093268978250189,0.1948291913396633,-0.002575454495146263,6.402973495141816,-0.3237354654012798,0.0313845401423825,-0.4056901302590207,0.1948223903554141,-0.004632194360081216,1.523369446e-06,1115.719255,0.0358045702684,1325.74123818,-0.01459281138622643,-0.03076738752798502,-0.01106277418443769,0.02364076601777619,0.4766349965087215,0.02902184747587077,0.4866851803119187,0.09176832392633885,0.005349007008536738,0.1746011719125789,0.3696372943082669,-32.0997345048395,-0.01459281138622643,-0.03076738752798502,-0.01106277418443769,1320.366372382666,-119.2580112710144,-0.007206230668325146,-0.03212678698758951,-0.01406794404012145,-0.007206230668325147,-0.01464552998087786,-0.03073022558387352,-0.0110963480141217, 2095.733375,-10.78165373,  13.5548401,-10.78165373, 1505.011774, 3.979918983,  13.5548401, 3.979918983, 3150.437861,77.08073931,2479.999483,45.48951560611308,4.227420235385562,35.42701113559922,4.3083972707391,4.3083792849531,0.1906732136017242,0.26946807241986,359.9993110278269,0.9999958507198199,0.001663946456367434,0.002351537119445008,-9.925222981851754e-06,-0.3409223043105754,0.6371179248677961,0.5832800934889272,0.3709946964247189,-0.340933666561841,0.6371000605178091,0.5832996061515061,0.3709842548631967,-142.83432408753,-59.23970543875,29.593977944406,29.759525969368,-95.163838955862,-1635244.937293415,-18107208.9278334,10325659.94621116,-1636354.068963561,-18107108.72895338,10325659.94621116,0.0035095822710819,4.3083792849531,0,6.28617328,0.999479706,1.5236864,34494357.8,87.3072309,3.49,-2.79617328,1,0,-0.523,-0.523,-0.526327875,-0.174,0.348,0,-0.165752421,-0.414381052,-0.411193813,-0.411193813,-0.411193813,0,-1,-0.00186052868,0,360.025829,-360.025829,360,-0.0258290785,-0.000450717419,-3.47697507e-05,-0.00336264512,0,0,0,-4.3083793,-2.17634586,-0.261067738,-0.272164086,0,0,0,-0,0,0,0.002,-0.411193813,-0.143506641,-0.143506641,0.107629981,0.107629981,-0.251136621,0,0,0,0,1063.21,1.93311,1.29953,29.3695,52.2,-0.0137252,-0.0170711,2.78189,197.342,130,130,29.5939786029627712,-95.1638400633802348,20908474.4843266495,-0.405690130259020676
0.96,0.3130322781954277,0.159817987483643,0.001075625240271364,4.832082338867279,0.01596303419246946,0.02460398539867394,0.316669804678816,0.1598114652713029,-0.0009797730174614752,8.653826091e-07,840.9232981,0.0269860880917,1325.79542921,-0.0120181570389547,0.02344199476663247,-0.005855402056432021,0.001122160595534064,0.3721065958917057,0.07566287486748088,0.3851627445880447,0.1301639698415767,-0.03692030596510197,0.163967845248967,0.2694718829945919,-32.0531503703266,-0.0120181570389547,0.02344199476663247,-0.005855402056432021,1320.421923183376,-119.2453975671129,-0.007619317892781215,0.02238044394734665,-0.0130119435159659,-0.007619317892781212,-0.01204702576512683,0.0234607380629172,-0.005719430937761786, 2095.732738,-10.78165323, 13.55484295,-10.78165323,  1505.01173, 3.979923783, 13.55484295, 3.979923783, 3150.437251,77.08073251,2479.999265,45.4895153845998,4.227420608393152,35.42700902033593,4.3094714991748,4.3094535067513,0.1830879220741329,0.2906164511836234,359.999276376045,0.9999955076491057,0.00159775372738745,0.002536090921646174,-1.036682434322499e-05,-0.3409874354996456,0.6370714837051151,0.5831931832551829,0.3711511881778431,-0.341000426381066,0.6370510702984193,0.5832154817708362,0.3711392526564401,-154.02405534482,60.30440637669,29.593977940092,29.759525965031,-95.163838956808,-1635086.489864134,-18107223.23809471,10325659.94537494,-1636354.069416799,-18107108.73063495,10325659.94537494,0.0040109511669508,4.3094535067513,0,6.28617268,0.999479667,1.5236864,34494357.8,87.3072309,3.49,-2.79617268,1,0,-0.523,-0.523,-0.526195487,-0.174,0.348,0,-0.178575539,-0.446438848,-0.443574297,-0.443574297,-0.443574297,0,-1,0.253117706,0,360.025794,-360.025794,360,-0.0257944241,-0.000450112701,-5.50105913e-05,-0.00325049765,0,0,0,-4.30945353,-2.37929353,-0.285412688,-0.291132119,0,0,0,-0,0,0,0.002,-0.443574297,-0.154807429,-0.154807429,0.116105572,0.116105572,-0.270913002,0,0,0,0,1199.72,2.18132,1.29953,29.4184,50.3107,0.0121623,-0.0168671,3.81315,230.396,130,130,29.5939785983874977,-95.1638400644336997,20908474.4854477681,0.316669804678816003
1.08,0.6825477158916414,0.1944333917122971,0.00287304975774833,0.8064602956002339,0.4054450320145496,0.002631040825748427,0.6861859796507472,0.1944246053032767,0.0008189652724631244,3.382423133e-06,1662.517673,0.0533518914431,1325.82317224,-0.01464143652852449,0.05121684325960823,0.002981211743963748,-0.03075391719523568,0.0744733655443425,0.05386284797553816,0.08553233528550264,0.1221275956077976,-0.05373566545869042,0.1436464545694477,-0.06338369083019502,-32.07425658088272,-0.01464143652852449,0.05121684325960823,0.002981211743963748,1320.451184809433,-119.2298300800778,-0.01432312566343323,0.05059887964856813,-0.009001431558349746,-0.01432312566343323,-0.01462348494034491,0.05120368421193787,0.003280355450875058, 2095.732002,-10.78165265, 13.55484624,-10.78165265,  1505.01168, 3.979929329, 13.55484624, 3.979929329, 3150.436546,77.08072464,2479.999012,45.48951512853073,4.22742103958945,35.42700657509429,4.3095892108977,4.3095712196794,0.2457777478361097,0.3111749832995566,359.9996065159049,0.9999940128608925,0.002144815236032444,0.002715497056002893,-9.258040753956259e-06,-0.3414413479042433,0.6368195364486202,0.5833335410303276,0.370945634625503,-0.341455954521946,0.6367965657844774,0.5833586168890559,0.3709321892582125,168.49106512042,73.736065647053,29.593977935814,29.759525960738,-95.163838941546,-1634928.037112057,-18107237.54659702,10325659.944078,-1636354.064672444,-18107108.73194442,10325659.944078,0.0045123200628196,4.3095712196794,3.2625627812975e-09,6.28617844,0.999479663,1.5236864,34494357.8,87.3072309,3.49,-2.79617844,1,0,-0.523,-0.523,-0.527289631,-0.174,0.348,0,-0.185708832,-0.464272079,-0.463338563,-0.463338563,-0.463338563,0,-1,0.453348655,0,360.026125,-360.026125,360,-0.0261245883,-0.000455874066,-7.44027126e-05,-0.00436403364,0,0,0,-4.30957124,-2.56298793,-0.307448098,-0.304167742,0,0,0,-0,0,0,0.002,-0.463338563,-0.161705159,-0.161705159,0.121278869,0.121278869,-0.282984027,0,0,0,0,1316.19,2.39307,1.29953,29.4597,48.5268,0.0302829,-0.0175045,4.93302,261.526,129.999,129.999,29.5939785938594326,-95.1638400482796953,20908474.4860407636,0.686185979650747235
